"","educ","yob","qob","pob","wklywge"
"124",16,38,2,39,1092.40394400857
"125",12,36,4,42,288.557680969383
"126",20,38,2,11,92.4038828545391
"127",10,38,1,17,249.218743806087
"128",12,34,2,5,471.25012310832
"129",11,30,2,47,222.788524301311
"130",15,30,3,42,387.85711054371
"131",10,33,1,42,230.865433080054
"132",16,34,1,39,300.156198252187
"133",5,31,1,27,120.096189397233
"134",9,30,4,8,289.000090135521
"135",12,33,2,26,362.9808216685
"136",14,39,4,22,260.178517193287
"137",12,33,2,6,615.480953262824
"138",12,33,4,21,480.86520896896
"139",10,37,4,13,192.403936884517
"140",12,34,2,17,490.480734026219
"141",12,30,1,18,276.249930155179
"142",12,31,4,26,492.499773148571
"143",12,33,3,42,207.019294693252
"144",20,39,1,4,528.942113714319
"145",12,39,4,6,660.09977642765
"146",14,36,3,34,518.172915363903
"147",12,31,3,42,230.865433080054
"148",10,30,2,36,250.125051799918
"149",8,36,4,13,199.711534920895
"150",13,35,2,13,442.499794481815
"151",12,31,2,25,409.519286555629
"152",11,39,1,37,288.557680969383
"153",16,35,1,48,538.557893694644
"154",12,38,4,12,88.5576719298629
"155",17,39,1,48,676.827202294615
"156",12,39,4,26,476.634523931193
"157",13,30,4,20,384.711614361321
"158",16,33,1,27,761.826622294065
"159",10,39,1,5,336.634576736493
"160",14,37,2,18,340.672975157863
"161",18,38,1,29,666.250016336414
"162",10,39,1,51,217.500032510002
"163",12,31,4,27,178.74996754363
"164",12,38,4,34,566.442174366328
"165",8,33,1,47,288.557680969383
"166",14,30,4,36,557.788579054051
"167",13,35,4,37,384.711614361321
"168",16,31,2,56,528.942113714319
"169",15,39,2,36,673.172761319504
"170",12,39,2,24,865.480634986267
"171",12,38,3,45,552.019294792254
"172",13,31,2,9,434.134763119018
"173",13,31,2,48,565.480606195546
"174",17,35,4,26,526.630413575269
"175",12,38,2,29,384.711614361321
"176",12,32,1,54,402.019260836557
"177",14,36,1,6,376.634793337544
"178",17,34,3,19,765.672857856294
"179",12,30,4,47,346.249980090089
"180",12,32,4,19,288.557680969383
"181",10,36,2,36,442.403782444095
"182",12,33,4,37,530.865131850943
"183",8,33,1,27,240.480739235535
"184",12,31,2,54,461.634752774662
"185",12,36,2,17,478.369764814218
"186",10,39,4,42,346.249980090089
"187",12,39,2,34,615.480953262824
"188",16,36,3,34,730.865172358431
"189",17,39,3,20,305.096158289614
"190",12,33,1,47,653.942220699472
"191",12,37,2,25,334.711511127619
"192",10,30,4,36,307.788543464825
"193",17,30,2,36,442.403782444095
"194",10,32,2,42,200.333404277971
"195",18,38,3,19,212.872415929709
"196",17,39,2,36,519.327133692303
"197",12,33,3,54,240.480739235535
"198",12,32,2,26,480.86520896896
"199",11,36,1,45,250.096038976685
"200",16,37,4,26,618.152382074707
"201",20,32,4,46,862.211844715061
"202",16,35,4,56,538.557893694644
"203",12,30,1,6,403.94228142715
"204",12,35,3,36,308.750034597852
"205",20,33,3,54,423.172966617204
"206",13,39,2,36,358.099900804743
"207",12,33,4,22,25.444433599566
"208",7,33,2,37,46.6278965298977
"209",12,31,1,37,403.94228142715
"210",12,36,1,29,216.442300168902
"211",13,37,1,17,327.01923768246
"212",16,34,4,8,634.711776134749
"213",12,35,1,42,269.326931395683
"214",12,36,2,29,45.9375102453014
"215",12,33,2,46,384.711614361321
"216",12,33,4,17,259.134699034379
"217",12,31,4,34,346.249980090089
"218",3,36,3,48,192.403936884517
"219",14,35,3,18,657.980963463319
"220",12,30,2,13,327.01923768246
"221",16,30,4,25,702.234223439707
"222",10,30,1,42,145.138868805021
"223",1,36,2,22,444.903764843372
"224",8,36,3,21,240.480739235535
"225",9,36,3,34,480.86520896896
"226",12,30,1,48,288.557680969383
"227",18,36,4,8,300.096173015261
"228",10,32,2,42,250.096038976685
"229",12,36,3,42,519.327133692303
"230",14,31,4,42,403.94228142715
"231",20,33,3,39,346.249980090089
"232",12,39,2,12,96.2500025825903
"233",12,39,1,13,270.48076859716
"234",12,34,4,36,186.372619431505
"235",12,36,4,36,427.019209783467
"236",16,33,4,6,610.777661409694
"237",12,34,2,42,211.634557104866
"238",12,32,4,26,327.01923768246
"239",13,31,1,30,269.326931395683
"240",14,36,3,10,250.178584288775
"241",12,36,2,26,285.816215181286
"242",11,31,1,47,96.2500025825903
"243",8,31,2,29,230.865433080054
"244",16,34,1,42,442.403782444095
"245",18,36,4,13,1250.09646585164
"246",12,35,3,6,769.326917920281
"247",16,34,3,39,473.10814560451
"248",16,33,2,49,673.172761319504
"249",5,34,2,12,284.166689260884
"250",12,39,1,55,434.711677070518
"251",12,39,3,38,384.711614361321
"252",11,36,1,25,307.788543464825
"253",12,38,1,25,274.607828042094
"254",12,35,4,42,459.711445379718
"255",12,39,2,55,346.249980090089
"256",14,33,1,39,322.980839167429
"257",8,38,2,37,285.166722369949
"258",9,34,2,23,268.750113025021
"259",16,32,2,31,346.249980090089
"260",16,33,2,17,355.865553210626
"261",12,37,2,9,250.096038976685
"262",16,30,2,41,480.86520896896
"263",5,32,4,42,183.700001428988
"264",10,30,3,37,260.865513349456
"265",18,31,2,6,380.288433376418
"266",12,36,4,12,361.634487972442
"267",15,35,1,55,497.21175412764
"268",12,39,1,40,332.788449062882
"269",12,35,3,37,28.9422944193236
"270",12,37,2,39,307.788543464825
"271",16,39,1,13,440.480862727485
"272",12,30,3,40,327.01923768246
"273",12,32,4,49,577.019464553128
"274",16,35,1,5,692.403584354935
"275",12,35,4,23,70.0961590429896
"276",16,38,2,34,519.327133692303
"277",12,31,4,25,485.857319732553
"278",14,35,1,21,346.249980090089
"279",12,36,2,42,318.295437428815
"280",13,38,3,37,238.557649953096
"281",13,32,3,11,473.365586453281
"282",12,33,2,37,375.104254750481
"283",16,33,2,51,577.019464553128
"284",12,32,3,36,459.134410258235
"285",9,32,4,39,400.096192721253
"286",16,38,1,17,519.327133692303
"287",14,35,2,39,461.634752774662
"288",11,30,3,36,327.01923768246
"289",20,34,4,36,669.327180753555
"290",12,39,2,18,405.673236767627
"291",11,39,3,42,365.480892455584
"292",12,36,3,36,421.249797098006
"293",12,37,2,19,463.36959639743
"294",16,35,3,37,365.480892455584
"295",10,32,3,34,288.557680969383
"296",17,34,3,48,423.172966617204
"297",14,36,4,12,423.172966617204
"298",12,33,2,26,346.249980090089
"299",6,39,3,54,374.078998108974
"300",9,33,4,13,280.865245238664
"301",11,32,4,18,460.100065720034
"302",12,37,1,17,248.100027117888
"303",14,39,1,25,138.55772142529
"304",12,34,3,42,288.557680969383
"305",12,32,2,39,577.019464553128
"306",13,30,4,36,384.711614361321
"307",8,36,1,28,167.499941163103
"308",12,38,4,39,384.711614361321
"309",13,35,3,36,471.25012310832
"310",16,31,1,37,769.326917920281
"311",10,34,2,49,375.480673060221
"312",12,33,2,17,517.403999645811
"313",12,31,4,47,327.01923768246
"314",12,34,3,55,384.711614361321
"315",14,33,4,51,346.249980090089
"316",11,35,4,36,461.634752774662
"317",19,37,2,36,1307.78873318521
"318",18,33,4,55,577.019464553128
"319",16,34,4,54,1346.24969242149
"320",12,30,2,36,577.019464553128
"321",12,32,3,42,357.0193564294
"322",12,32,2,5,130.099949844058
"323",19,33,4,36,725.124960998263
"324",12,34,2,28,367.980887250178
"325",12,32,1,42,251.634591131363
"326",11,35,4,10,69.4230538228644
"327",12,33,4,9,255.000115984628
"328",16,37,4,6,63.9361545318308
"329",17,32,2,36,150.100039230229
"330",12,38,3,29,26.7105334809024
"331",16,39,2,6,553.17311524914
"332",12,39,1,47,596.249974836729
"333",12,36,4,55,134.711573460991
"334",12,32,4,1,192.403936884517
"335",12,30,2,37,873.173258942572
"336",16,38,2,36,365.096243628977
"337",12,33,4,26,444.555541542713
"338",12,39,4,48,327.01923768246
"339",18,39,2,39,721.250131395672
"340",12,33,2,5,575.09600955614
"341",12,33,3,39,100.208298040775
"342",8,39,3,41,482.321546233026
"343",18,36,4,42,730.865172358431
"344",18,36,2,39,355.865553210626
"345",13,33,4,19,458.437514515369
"346",8,34,3,21,423.172966617204
"347",3,34,3,13,980.490542499121
"348",12,31,3,54,288.942295897111
"349",14,39,2,21,250.138809056088
"350",13,36,4,20,327.124881956864
"351",17,38,1,25,96.2500025825903
"352",12,30,1,36,192.403936884517
"353",12,38,1,25,408.942271252971
"354",10,32,1,42,327.01923768246
"355",12,38,4,1,700.099872593607
"356",12,38,1,34,346.249980090089
"357",12,37,3,34,365.480892455584
"358",7,30,2,39,444.327098709198
"359",12,34,4,12,127.28262402777
"360",12,31,1,20,1355.00036135985
"361",12,31,4,39,265.673204771345
"362",18,38,3,17,628.942602154432
"363",12,37,3,34,25.0961638551202
"364",16,38,3,39,490.480734026219
"365",12,30,4,24,769.326917920281
"366",16,38,2,37,224.134652840106
"367",18,37,4,39,650.125226182924
"368",13,38,3,30,730.865172358431
"369",13,36,3,39,461.634752774662
"370",12,38,3,48,365.480892455584
"371",12,38,4,36,364.711634912591
"372",14,38,2,25,323.17306994972
"373",12,37,4,55,498.173295786768
"374",16,38,1,39,559.711795299561
"375",12,39,3,50,173.173156750926
"376",9,36,3,42,53.9423023317712
"377",12,37,4,47,281.071476006102
"378",17,33,1,54,166.770897619679
"379",12,39,1,54,360.341070143806
"380",12,33,3,42,380.113540925413
"381",12,31,1,22,384.711614361321
"382",12,35,1,36,288.557680969383
"383",16,38,1,26,153.942322032129
"384",17,38,2,21,327.01923768246
"385",12,39,3,18,130.480788321733
"386",14,38,1,26,327.01923768246
"387",14,36,4,48,577.019464553128
"388",9,37,4,39,615.480953262824
"389",16,30,3,29,288.557680969383
"390",12,34,2,8,461.730782790014
"391",19,38,1,11,596.249974836729
"392",12,38,4,42,410.106548365855
"393",12,39,4,31,577.019464553128
"394",12,32,2,36,384.711614361321
"395",12,38,4,29,390.099954548433
"396",9,32,2,21,122.980769792605
"397",15,32,4,12,501.530789333011
"398",14,34,4,39,663.173072092548
"399",12,30,4,9,510.113882596685
"400",14,36,2,42,307.788543464825
"401",12,35,3,27,432.788432478619
"402",8,38,3,37,302.403736385137
"403",12,30,2,37,200.099951657909
"404",12,38,1,37,127.980767663288
"405",14,31,3,6,500.095959996047
"406",16,38,3,48,365.480892455584
"407",12,37,4,29,365.480892455584
"408",16,30,2,42,711.634900714472
"409",14,37,3,46,673.172761319504
"410",20,35,3,29,84.7115537275034
"411",14,35,2,34,494.134624849812
"412",10,30,3,28,97.6250382534021
"413",14,33,1,19,384.711614361321
"414",8,33,4,18,365.480892455584
"415",13,36,1,26,903.942724020006
"416",12,37,1,47,365.480892455584
"417",12,30,3,36,577.019464553128
"418",13,31,2,36,211.634557104866
"419",8,39,1,34,211.634557104866
"420",20,31,2,23,471.25012310832
"421",10,31,4,42,310.096022649911
"422",12,30,3,47,403.94228142715
"423",15,36,1,2,384.711614361321
"424",11,36,1,51,486.442157797756
"425",8,32,4,23,451.442494817424
"426",12,31,1,1,559.14621262473
"427",11,38,3,17,577.019464553128
"428",12,33,4,8,470.686374182003
"429",16,34,3,48,1153.94178555186
"430",9,37,3,36,182.788546289978
"431",12,34,4,40,86.6345762724732
"432",10,33,3,39,365.480892455584
"433",11,31,1,21,294.038584934174
"434",11,38,3,18,392.980895999725
"435",12,37,2,51,353.942333448091
"436",8,37,2,30,307.788543464825
"437",12,35,4,35,561.634341367095
"438",12,31,3,22,240.480739235535
"439",12,31,2,17,403.94228142715
"440",12,32,1,5,230.865433080054
"441",5,33,3,22,428.690408543293
"442",20,31,2,12,493.874778382753
"443",12,30,1,37,384.711614361321
"444",7,35,1,33,315.520924028722
"445",12,33,1,55,734.711569686604
"446",9,36,2,27,333.787979668617
"447",12,30,4,33,274.327047877549
"448",12,30,2,26,346.249980090089
"449",12,36,4,29,32.7884723214017
"450",14,30,2,1,6.82692259293529
"451",18,38,4,17,673.172761319504
"452",19,33,1,42,307.403740741238
"453",9,37,3,25,333.500044903884
"454",14,35,3,5,380.865387862418
"455",12,30,4,48,102.058787979804
"456",12,31,4,55,202.019252042327
"457",12,33,2,37,384.711614361321
"458",12,37,4,37,268.020910038775
"459",12,31,3,37,346.249980090089
"460",12,33,1,47,673.172761319504
"461",12,35,3,29,413.557681292001
"462",11,32,4,39,365.480892455584
"463",9,34,2,21,538.557893694644
"464",14,38,3,20,580.288271561158
"465",12,33,2,6,365.480892455584
"466",12,37,4,42,288.557680969383
"467",12,32,1,42,310.744801074543
"468",20,31,3,42,403.94228142715
"469",8,38,1,36,519.327133692303
"470",12,33,2,39,500.095959996047
"471",12,36,3,25,196.249930004993
"472",12,36,1,45,278.94231383627
"473",18,35,3,23,1346.24969242149
"474",15,37,3,21,369.299881137669
"475",18,35,2,29,625.103977562857
"476",6,30,4,24,351.444568866544
"477",12,31,2,19,461.634752774662
"478",8,39,4,13,230.865433080054
"479",8,36,3,17,125.124970265876
"480",12,39,3,17,250.125051799918
"481",8,32,1,21,386.477248177064
"482",14,34,2,26,480.86520896896
"483",9,36,1,48,230.865433080054
"484",8,37,4,21,116.700053764576
"485",12,39,3,39,192.403936884517
"486",5,39,3,13,254.519129959331
"487",14,36,4,25,423.172966617204
"488",12,31,1,36,230.865433080054
"489",10,30,1,34,538.557893694644
"490",8,30,3,39,208.173111419594
"491",12,35,3,26,445.865349729035
"492",11,33,3,31,24.100003844032
"493",15,32,1,31,250.138809056088
"494",15,38,2,42,352.019298718485
"495",17,37,3,53,477.187263595191
"496",12,30,4,26,923.173323825475
"497",12,38,2,39,384.711614361321
"498",13,36,2,17,807.788284457098
"499",9,37,3,42,361.249913507136
"500",13,38,1,40,305.288429428386
"501",16,30,2,6,403.94228142715
"502",12,35,1,29,230.865433080054
"503",5,37,2,13,248.172979249299
"504",12,33,4,5,198.173121562929
"505",7,33,4,54,360.865387145883
"506",12,32,3,48,403.94228142715
"507",14,33,2,47,490.480734026219
"508",12,33,2,20,383.749885296602
"509",7,35,4,42,600.099815171949
"510",8,32,3,48,478.173195238694
"511",17,31,2,34,647.157049515537
"512",16,35,3,25,666.770560845344
"513",10,32,4,35,307.299855834406
"514",12,38,1,47,175.326158126617
"515",12,35,1,40,207.596231826035
"516",14,35,1,25,538.557893694644
"517",16,38,2,39,221.057754509831
"518",17,33,4,45,581.634358325677
"519",12,38,2,22,342.403888224855
"520",20,39,1,36,1057.78883113816
"521",12,31,3,26,440.100011523118
"522",12,34,4,39,567.40367541647
"523",14,36,1,39,527.788692497391
"524",18,38,3,34,577.019464553128
"525",12,36,3,39,692.403584354935
"526",11,37,4,42,346.249980090089
"527",12,35,3,19,52.1874998637346
"528",18,38,1,34,415.48063221163
"529",10,37,1,44,202.788385628377
"530",0,30,1,34,192.403936884517
"531",9,30,2,26,461.634752774662
"532",5,38,1,28,86.1666317450148
"533",16,37,2,51,192.403936884517
"534",7,37,2,55,528.942113714319
"535",17,36,2,9,176.500021820105
"536",12,38,4,48,309.722272263378
"537",18,34,2,1,961.635037706562
"538",12,36,1,55,426.249987810219
"539",15,37,3,6,378.942318663568
"540",16,34,2,6,230.865433080054
"541",10,31,3,36,425.09598904537
"542",8,31,2,21,256.538563926012
"543",9,31,2,40,288.557680969383
"544",12,35,2,18,365.480892455584
"545",12,32,2,27,769.326917920281
"546",17,34,2,42,787.595788899167
"547",10,36,4,27,174.021699289603
"548",12,32,2,54,404.903999201617
"549",12,33,3,42,384.711614361321
"550",12,38,2,5,235.39218606761
"551",12,38,3,26,384.711614361321
"552",13,38,1,8,630.288719924971
"553",14,30,2,25,711.634900714472
"554",12,30,2,27,306.71868745673
"555",12,30,3,36,356.442166183526
"556",12,34,2,27,533.499962259247
"557",17,35,1,6,827.01927343999
"558",7,35,4,48,192.403936884517
"559",13,37,1,1,288.557680969383
"560",16,30,3,26,453.942255761783
"561",8,34,2,29,577.019464553128
"562",16,37,4,42,1442.30816259091
"563",20,35,4,36,700.099872593607
"564",12,33,4,51,786.832978221185
"565",12,37,4,29,384.711614361321
"566",12,38,4,48,676.057411032708
"567",12,34,1,48,500.095959996047
"568",12,39,4,26,645.937661564435
"569",14,35,4,25,366.500175433804
"570",12,36,4,18,344.327073254763
"571",14,32,1,36,750.208374043367
"572",16,36,4,1,961.635037706562
"573",9,37,2,48,124.062441581276
"574",14,34,1,42,115.480767390854
"575",12,38,2,36,288.557680969383
"576",12,39,4,13,197.031181906151
"577",15,33,2,40,540.099833865889
"578",11,37,4,29,260.099955144561
"579",8,34,2,55,10.7291678494946
"580",15,36,3,53,480.86520896896
"581",14,33,2,1,288.557680969383
"582",13,39,4,39,307.788543464825
"583",10,38,1,5,528.942113714319
"584",12,31,2,25,29.4565118174478
"585",14,39,4,48,480.86520896896
"586",10,36,4,29,600.166429948484
"587",20,34,3,29,1491.34548270585
"588",20,37,4,13,577.019464553128
"589",16,39,2,23,384.711614361321
"590",12,32,2,17,288.557680969383
"591",16,38,3,42,346.249980090089
"592",8,39,3,45,384.711614361321
"593",16,37,2,19,1031.05723856733
"594",13,37,1,29,412.872157897622
"595",14,38,3,51,456.634824339844
"596",12,38,4,6,423.172966617204
"597",12,38,1,5,196.176546254788
"598",16,35,4,48,659.903755904539
"599",20,38,3,25,423.172966617204
"600",14,31,1,42,324.459590537497
"601",11,30,4,36,86.6345762724732
"602",17,34,4,36,430.096241032881
"603",10,39,1,25,440.480862727485
"604",13,38,3,29,384.711614361321
"605",16,32,4,41,297.980783640994
"606",10,36,3,22,261.087082212964
"607",12,37,4,23,177.857203356417
"608",18,35,4,21,486.973642772052
"609",18,37,3,39,431.470438721758
"610",12,37,2,18,346.826966514843
"611",16,37,3,26,538.557893694644
"612",7,38,1,42,416.874826300776
"613",12,30,1,26,423.172966617204
"614",12,36,1,34,465.232369442284
"615",8,35,3,21,333.472365548866
"616",14,36,2,12,404.711715472997
"617",20,33,3,26,1413.15207144938
"618",12,39,4,6,380.09985708425
"619",12,30,1,39,173.173156750926
"620",14,30,2,17,211.634557104866
"621",12,32,4,36,518.172915363903
"622",9,30,2,36,683.749758132922
"623",14,33,3,54,440.199925565549
"624",3,39,2,48,327.01923768246
"625",14,34,2,17,615.480953262824
"626",12,37,2,29,442.403782444095
"627",19,30,4,9,288.557680969383
"628",12,35,4,24,445.67322316955
"629",17,33,1,42,465.480869871275
"630",12,31,1,24,480.86520896896
"631",12,31,2,17,487.01942044599
"632",19,37,2,36,620.100151703867
"633",14,36,4,29,461.634752774662
"634",12,39,1,47,327.01923768246
"635",19,32,3,36,307.788543464825
"636",17,38,3,18,730.865172358431
"637",12,38,2,18,459.134410258235
"638",11,32,1,26,361.222098334694
"639",12,35,3,42,453.62506099749
"640",12,35,4,48,440.480862727485
"641",12,36,4,48,269.326931395683
"642",18,34,2,18,434.625178053718
"643",6,36,3,17,211.634557104866
"644",16,39,2,26,702.346589904534
"645",9,36,2,17,498.684185201045
"646",9,36,4,42,180.480727640933
"647",17,39,2,39,288.557680969383
"648",12,37,2,34,928.942646412433
"649",14,31,4,20,480.86520896896
"650",12,38,3,47,291.770927637674
"651",18,37,4,17,500.138970098014
"652",13,34,3,37,1040.50036851011
"653",18,33,1,29,961.635037706562
"654",16,30,1,53,423.172966617204
"655",12,34,1,17,391.00017204576
"656",19,38,3,19,666.770560845344
"657",15,38,1,17,500.095959996047
"658",10,33,2,51,224.833246327414
"659",12,31,4,55,359.711384432796
"660",12,35,1,46,401.442375480813
"661",12,37,1,48,423.172966617204
"662",20,37,1,36,798.172707921596
"663",12,33,2,54,68.3654103442976
"664",10,35,3,17,137.352965069459
"665",13,35,4,42,250.096038976685
"666",8,39,1,45,213.653811103455
"667",4,36,3,47,202.187402000709
"668",12,33,3,21,520.099947584831
"669",12,32,1,26,611.442549138645
"670",12,38,4,17,363.365421968562
"671",11,35,2,51,42.1000109170225
"672",9,31,2,42,211.634557104866
"673",12,30,3,25,250.125051799918
"674",13,37,4,37,227.386451612262
"675",12,32,3,25,375.104254750481
"676",16,30,4,42,1213.94176385085
"677",16,33,2,24,769.326917920281
"678",3,30,2,45,230.865433080054
"679",12,36,2,39,515.288531953911
"680",12,30,1,8,288.557680969383
"681",12,33,4,42,692.403584354935
"682",12,38,3,26,480.86520896896
"683",8,33,3,55,172.596068449904
"684",9,37,3,47,298.289353409372
"685",12,37,4,37,75.6730434551468
"686",11,33,1,1,40.4807681161291
"687",9,38,4,29,548.173038066238
"688",8,31,2,47,346.249980090089
"689",18,39,3,42,269.326931395683
"690",17,35,2,27,416.771037391283
"691",19,38,1,36,769.326917920281
"692",12,35,2,6,394.32679719015
"693",11,32,3,24,461.634752774662
"694",13,35,3,24,380.865387862418
"695",16,38,2,27,615.480953262824
"696",20,39,4,55,577.019464553128
"697",16,32,4,8,843.905903806718
"698",12,35,4,41,399.711485257814
"699",12,31,3,8,375.096002547651
"700",11,38,3,36,360.096121508083
"701",13,36,4,36,283.750122354271
"702",17,31,2,42,750.095851226683
"703",12,34,2,6,615.480953262824
"704",8,39,3,53,384.711614361321
"705",9,32,4,1,153.942322032129
"706",20,38,2,34,1442.30816259091
"707",20,33,1,6,1530.6121003962
"708",7,31,2,1,307.788543464825
"709",12,30,4,19,192.403936884517
"710",8,30,1,41,96.2500025825903
"711",16,32,2,36,500.095959996047
"712",9,34,1,42,381.634750240673
"713",16,38,3,36,577.019464553128
"714",16,37,2,48,423.172966617204
"715",12,37,4,55,25.8333424346458
"716",11,33,1,26,577.019464553128
"717",10,32,3,40,288.557680969383
"718",14,35,3,21,307.788543464825
"719",18,32,1,18,865.480634986267
"720",12,30,3,9,346.249980090089
"721",12,32,3,42,488.173072627121
"722",15,30,4,25,432.403854532371
"723",12,30,1,48,343.979478475687
"724",16,38,3,36,577.019464553128
"725",12,38,4,55,442.403782444095
"726",11,34,1,48,328.557545781519
"727",12,33,1,34,384.711614361321
"728",15,39,1,9,269.326931395683
"729",18,31,2,17,653.942220699472
"730",12,39,1,42,96.2500025825903
"731",17,34,4,5,769.326917920281
"732",12,39,4,42,336.634576736493
"733",8,38,3,54,259.711655943303
"734",11,32,1,36,250.096038976685
"735",7,37,4,51,211.634557104866
"736",20,34,3,17,215.480840845039
"737",8,34,3,29,285.312479802932
"738",12,38,4,13,361.634487972442
"739",17,37,3,11,596.249974836729
"740",12,34,4,21,314.134739325276
"741",12,38,1,36,577.019464553128
"742",13,31,4,17,577.019464553128
"743",9,31,4,42,296.250091111897
"744",7,39,3,5,230.865433080054
"745",12,33,4,24,552.595903873585
"746",12,37,4,26,250.096038976685
"747",15,34,2,36,266.699885002194
"748",8,32,4,48,327.01923768246
"749",16,37,3,21,437.604266136034
"750",17,39,1,28,382.596152208795
"751",13,39,3,48,323.17306994972
"752",12,38,1,9,384.711614361321
"753",12,38,4,51,415.288309205128
"754",13,36,1,34,538.557893694644
"755",16,33,3,36,903.942724020006
"756",4,30,4,47,100.096127574156
"757",12,30,4,39,442.403782444095
"758",16,32,3,47,423.172966617204
"759",12,35,1,36,240.480739235535
"760",18,30,4,36,691.634751138651
"761",12,32,1,55,304.327066588115
"762",12,32,1,24,313.94223373906
"763",16,30,2,42,620.729252157721
"764",20,38,3,9,734.711569686604
"765",16,35,3,36,365.480892455584
"766",2,36,3,37,230.865433080054
"767",12,34,2,36,673.172761319504
"768",12,36,2,39,652.386384066837
"769",9,33,2,42,335.865237284873
"770",10,38,2,29,233.444415612007
"771",16,37,3,19,634.711776134749
"772",10,38,1,39,458.541591643471
